id,fdc_id,source,usda_description,display_name,category,form,emoji,svg,cost_per_100g,price_source,price_date,scalable,serving_g,protein_g,fat_g,carbs_g,fiber_g,kcal,His_mg,Ile_mg,Leu_mg,Lys_mg,Met_mg,Cys_mg,Phe_Tyr_mg,Phe_mg,Tyr_mg,Thr_mg,Trp_mg,Val_mg,amino_note
oyster_mushrooms,168580,USDA Data CSVs,"Mushrooms, oyster, raw",Oyster mushrooms,Vegetables,raw,,,1.50,est,2026-04-24,True,,3.31,0.41,6.09,2.3,33,70,112,168,126,42,28,196,112,84,140,42,197,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
portabella_mushrooms,169255,USDA Data CSVs,"Mushrooms, portabella, raw",Portabella mushrooms,Vegetables,raw,,,1.10,est,2026-04-24,True,,2.11,0.35,3.87,1.3,22,58,82,130,122,29,10,90,76,14,101,35,76,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
potato_raw,170026,USDA Data CSVs,"Potatoes, flesh and skin, raw",Potato (raw),Vegetables,raw,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F954.svg,0.26,est,2026-04-24,True,,2.05,0.09,17.49,2.1,77,35,66,98,107,32,24,129,81,48,67,21,103,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
spinach_raw,168462,USDA Data CSVs,"Spinach, raw",Spinach (raw),Vegetables,raw,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F96C.svg,0.83,est,2026-04-24,True,,2.86,0.39,3.63,2.2,23,64,147,223,174,53,35,237,129,108,122,39,161,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
sweet_corn_raw,169998,USDA Data CSVs,"Corn, sweet, yellow, raw",Sweet corn (raw),Vegetables,raw,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F33D.svg,0.30,est,2026-04-24,True,,3.27,1.35,18.7,2.0,86,89,129,348,137,67,26,273,150,123,129,23,185,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
sweetp,168483,foods-usda.js / Soy_Cube,,Sweet potato,Vegetables,raw,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F360.svg,0.20,est,2026-04-24,False,130,2.01,0.15,20.71,3.3,90,39,70,118,84,37,28,158,158,,107,40,110,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
broccoli,169967,USDA Data CSVs,"Broccoli, cooked, boiled, drained, without salt",Broccoli,Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F966.svg,0.35,est,2026-04-24,True,,2.38,0.41,7.18,3.3,35,63,92,147,155,43,31,176,116,60,96,34,138,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
broccoli,168510,foods-usda.js / Soy_Cube,,Broccoli (cooked),Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F966.svg,0.35,est,2026-04-24,False,90,2.38,0.41,7.18,3.3,35,63,92,147,155,43,31,176,176,,96,34,138,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
green_peas_cooked,170017,USDA Data CSVs,"Peas, green, frozen, cooked, boiled, drained, without salt",Green peas (cooked),Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1FADB.svg,0.25,est,2026-04-24,True,,5.15,0.27,14.26,4.5,78,101,185,307,302,78,30,298,190,108,193,35,223,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
kale,169238,foods-usda.js / Soy_Cube,,Kale (cooked),Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F96C.svg,0.40,est,2026-04-24,False,60,2.94,1.21,5.3,4.0,36,172,176,205,176,29,39,254,254,,131,35,160,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
potato_baked,170093,USDA Data CSVs,"Potatoes, baked, flesh and skin, without salt",Potato (baked),Vegetables,cooked,,,0.26,est,2026-04-24,True,,2.5,0.13,21.15,2.2,93,42,80,119,130,38,29,157,99,58,81,25,125,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
shiitake_mushrooms,168435,USDA Data CSVs,"Mushrooms, shiitake, stir-fried",Shiitake mushrooms,Vegetables,cooked,,,1.80,est,2026-04-24,True,,3.45,0.35,7.68,3.6,39,55,110,187,132,33,22,187,110,77,132,11,143,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
spinach,168463,foods-usda.js / Soy_Cube,,Spinach (cooked),Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F96C.svg,0.83,est,2026-04-24,False,80,2.97,0.26,3.75,2.4,23,66,152,231,182,55,35,247,247,,127,40,168,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
sweet_corn_cooked,169999,USDA Data CSVs,"Corn, sweet, yellow, cooked, boiled, drained, without salt",Sweet corn (cooked),Vegetables,cooked,,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji/color/svg/1F33D.svg,0.25,est,2026-04-24,True,,3.41,1.5,20.98,2.4,96,91,133,358,141,69,27,281,155,126,133,23,191,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
soy_protein_powder,173181,USDA Data CSVs,"Beverages, Protein powder soy based",Soy protein powder,Protein Powders,dry,,,1.76,TJ,2026-04-24,True,,55.56,5.56,28.89,6.7,388,1511,2762,4602,3551,722,722,5127,2958,2169,2169,722,2827,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
seitan,168147,SR Legacy fdc=168147; AA values manually transcribed from USDA SR Legacy public release — USDA API returns no AA data for this entry,,Seitan (vital wheat gluten),Protein Powders,raw,,,0.80,Anthony's,2026-04-24,True,,75.16,,,,,1530,2884,5095,1287,2160,0,6260,6260,,1981,830,3079,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
miso,172442,USDA Data CSVs,Miso,Miso,Other,raw,,,1.99,TJ,2026-04-24,True,,12.79,6.01,25.37,5.4,198,243,508,820,478,129,0,838,486,352,479,155,547,Met individual; Cys individual; Phe_Tyr_mg = Phe+Tyr combined (NAM/WHO)
